"","unique_id","Species_standardised","Reference","Trait_value","Temperature","T_pk","B0_value","E_value","ED_value"
"67","Alexandrium monilatum-:-Juhl (2005)-:- 30.230-:- -88.800","Alexandrium monilatum","Juhl (2005)",0.263,20,304.15,0.263,0.482991299891899,0.965982599783798
"68","Alexandrium monilatum-:-Juhl (2005)-:- 30.230-:- -88.800","Alexandrium monilatum","Juhl (2005)",0.599,25,304.15,0.263,0.482991299891899,0.965982599783798
"69","Alexandrium monilatum-:-Juhl (2005)-:- 30.230-:- -88.800","Alexandrium monilatum","Juhl (2005)",0.57,31,304.15,0.263,0.482991299891899,0.965982599783798
"70","Alexandrium ostenfeldii-:-Jensen and Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen and Moestrup (1997)",0,9.4,293.45,0.06,1.10990581145504,2.21981162291009
"71","Alexandrium ostenfeldii-:-Jensen and Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen and Moestrup (1997)",0.06,11.3,293.45,0.06,1.10990581145504,2.21981162291009
"72","Alexandrium ostenfeldii-:-Jensen and Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen and Moestrup (1997)",0.06,11.4,293.45,0.06,1.10990581145504,2.21981162291009
"73","Alexandrium ostenfeldii-:-Jensen and Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen and Moestrup (1997)",0.15,16.3,293.45,0.06,1.10990581145504,2.21981162291009
"74","Alexandrium ostenfeldii-:-Jensen and Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen and Moestrup (1997)",0.16,16.4,293.45,0.06,1.10990581145504,2.21981162291009
"75","Alexandrium ostenfeldii-:-Jensen and Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen and Moestrup (1997)",0.22,20.3,293.45,0.06,1.10990581145504,2.21981162291009
"76","Alexandrium ostenfeldii-:-Jensen and Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen and Moestrup (1997)",0.21,20.6,293.45,0.06,1.10990581145504,2.21981162291009
"77","Alexandrium ostenfeldii-:-Jensen and Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen and Moestrup (1997)",0.16,23.5,293.45,0.06,1.10990581145504,2.21981162291009
"78","Alexandrium ostenfeldii-:-Jensen and Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen and Moestrup (1997)",0.15,23.7,293.45,0.06,1.10990581145504,2.21981162291009
"79","Alexandrium ostenfeldii-:-Jensen and Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen and Moestrup (1997)",0,26.3,293.45,0.06,1.10990581145504,2.21981162291009
"80","Alexandrium ostenfeldii-:-Jensen & Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen & Moestrup (1997)",0,9.4,293.45,0.0554518,1.13484471233237,2.26968942466473
"81","Alexandrium ostenfeldii-:-Jensen & Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen & Moestrup (1997)",0.0623832,11.3,293.45,0.0554518,1.13484471233237,2.26968942466473
"82","Alexandrium ostenfeldii-:-Jensen & Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen & Moestrup (1997)",0.0554518,11.4,293.45,0.0554518,1.13484471233237,2.26968942466473
"83","Alexandrium ostenfeldii-:-Jensen & Moestrup (1997)-:- 56.570-:-   9.070","Alexandrium ostenfeldii","Jensen & Moestrup (1997)",0.152492,16.3,293.45,0.0554518,1.13484471233237,2.26968942466473
